"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3495","Login Test with JSON Data: Valid login @datadriven","chromium","Mon Jul 06 16:44:29 IST 2026","passed","Mon Jul 06 16:44:32 IST 2026","","LoginDataDriven.spec.ts","",""
"","3367","User login test @master @sanity @regression","chromium","Tue Jul 07 16:17:12 IST 2026","passed","Tue Jul 07 16:17:16 IST 2026","","Login.spec.ts","",""
"","4208","Add product to cart test @master @regression","chromium","Tue Jul 07 16:17:07 IST 2026","passed","Tue Jul 07 16:17:12 IST 2026","","AddToCart.spec.ts","",""
"","7977","User registration test @master @sanity @regression","chromium","Tue Jul 07 16:17:07 IST 2026","passed","Tue Jul 07 16:17:15 IST 2026","","AccountRegistration.spec.ts","",""
"","10111","execute end-to-end test flow @end-to-end","chromium","Tue Jul 07 16:17:49 IST 2026","passed","Tue Jul 07 16:17:59 IST 2026","","EndToEndTest.spec.ts","",""
"","4834","User logout test @master @regression","chromium","Tue Jul 07 16:17:16 IST 2026","passed","Tue Jul 07 16:17:21 IST 2026","","Logout.spec.ts","",""
"","2737","Login Test with JSON Data: Invalid login @datadriven","chromium","Mon Jul 06 16:44:33 IST 2026","failed","Mon Jul 06 16:44:35 IST 2026","","LoginDataDriven.spec.ts","",""
"","2853","Login Test with CSV Data: Valid login @datadriven","chromium","Mon Jul 06 16:44:33 IST 2026","passed","Mon Jul 06 16:44:36 IST 2026","","LoginDataDriven.spec.ts","",""
"","3206","Login Test with CSV Data: Invalid login @datadriven","chromium","Mon Jul 06 16:44:39 IST 2026","failed","Mon Jul 06 16:44:43 IST 2026","","LoginDataDriven.spec.ts","",""
"","2242","Product search test @master @regression","chromium","Tue Jul 07 16:17:16 IST 2026","passed","Tue Jul 07 16:17:18 IST 2026","","SearchProduct.spec.ts","",""
